feature,importance
换手率,423.89360427856445
成交额,131.46847772598267
ROC30,76.4941987991333
CORR30,69.74720096588135
CORR60,69.43262958526611
CORD60,64.98044013977051
volatility_20,61.57841086387634
CNTP30,61.07400131225586
MIN60,59.01818895339966
WVMA20,57.44810104370117
CNTP60,41.896100997924805
STD60,40.242560386657715
ROC60,36.32400131225586
SUMN60,35.48808002471924
volume_ma_5,33.91720104217529
CORD20,32.947500228881836
VSTD60,32.843050718307495
volume_ratio,31.454160690307617
ema_26,30.646519660949707
SUMD5,30.149599075317383
RSV5,29.586219787597656
VSUMN10,27.976799964904785
最低,27.323500633239746
sma_20,26.61245059967041
QTLU20,25.03800916671753
STD30,24.886509895324707
STD10,23.54400062561035
VSTD20,20.394559860229492
STD5,20.280919551849365
SUMN30,17.771029949188232
VSUMP60,17.749099731445312
QTLD60,16.83449935913086
BETA5,16.234100341796875
boll_std,14.914899826049805
SUMP10,14.629130363464355
QTLD30,14.506400108337402
HIGH0,14.187310218811035
RESI60,13.416589975357056
RSV10,13.168700218200684
MIN20,13.003499984741211
obv,12.72189998626709
macd,12.631500244140625
WVMA30,11.820300102233887
MAX60,11.258600234985352
BETA10,11.134300231933594
KSFT2,11.045700073242188
CNTD60,10.948200225830078
WVMA10,10.625200271606445
CORD10,10.336899757385254
LOW0,10.239399909973145
STD20,10.094900131225586
SUMD30,9.99116039276123
VWAP0,9.579339981079102
volatility_10,9.539589881896973
boll_mid,9.388349533081055
成交量,9.061710357666016
RSQR60,8.884010314941406
MAX10,6.912700176239014
BETA30,5.986999988555908
RSV60,5.203239917755127
涨跌幅,3.9994900226593018
KLOW2,3.510509967803955
KSFT,3.2641398906707764
最高,0.0
OPEN0,0.0
收盘,0.0
开盘,0.0
KLOW,0.0
QTLU60,0.0
QTLU30,0.0
QTLU10,0.0
QTLU5,0.0
MIN30,0.0
MAX30,0.0
MIN5,0.0
MIN10,0.0
MAX5,0.0
MAX20,0.0
RSQR20,0.0
RSQR30,0.0
RESI5,0.0
RESI10,0.0
RESI20,0.0
RESI30,0.0
BETA20,0.0
BETA60,0.0
RSQR10,0.0
RSQR5,0.0
KMID2,0.0
振幅,0.0
KMID,0.0
KLEN,0.0
ROC10,0.0
ROC20,0.0
ROC5,0.0
MA5,0.0
MA30,0.0
MA20,0.0
MA10,0.0
MA60,0.0
涨跌额,0.0
KUP2,0.0
KUP,0.0
IMXD30,0.0
CORR10,0.0
CORR5,0.0
IMXD60,0.0
IMIN60,0.0
IMIN30,0.0
IMIN20,0.0
CORD30,0.0
CNTP5,0.0
IMXD20,0.0
IMXD10,0.0
IMXD5,0.0
QTLD20,0.0
IMAX10,0.0
IMAX20,0.0
IMAX30,0.0
IMAX60,0.0
IMIN5,0.0
IMIN10,0.0
QTLD10,0.0
QTLD5,0.0
RANK20,0.0
RANK10,0.0
RANK5,0.0
RANK60,0.0
RANK30,0.0
RSV20,0.0
RSV30,0.0
IMAX5,0.0
SUMN20,0.0
SUMN10,0.0
SUMN5,0.0
SUMP60,0.0
SUMP20,0.0
SUMP30,0.0
CNTD30,0.0
SUMP5,0.0
CNTN60,0.0
CNTD5,0.0
CNTD20,0.0
CNTD10,0.0
CNTN30,0.0
CNTN5,0.0
CNTN10,0.0
CNTN20,0.0
CORR20,0.0
CNTP10,0.0
CORD5,0.0
CNTP20,0.0
VMA30,0.0
VSUMP5,0.0
VMA60,0.0
VSTD5,0.0
VSTD30,0.0
VSTD10,0.0
VMA20,0.0
VMA5,0.0
VMA10,0.0
SUMD60,0.0
SUMD20,0.0
SUMD10,0.0
VSUMD5,0.0
VSUMN60,0.0
VSUMN30,0.0
VSUMN20,0.0
VSUMN5,0.0
VSUMP30,0.0
VSUMP10,0.0
VSUMP20,0.0
WVMA5,0.0
WVMA60,0.0
VSUMD30,0.0
VSUMD60,0.0
ema_12,0.0
sma_5,0.0
VSUMD10,0.0
VSUMD20,0.0
volume_ma_20,0.0
rsi,0.0
macd_signal,0.0
volume_change,0.0
kdj_j,0.0
kdj_d,0.0
atr_14,0.0
kdj_k,0.0
ema_60,0.0
return_1,0.0
return_5,0.0
return_10,0.0
high_low_spread,0.0
open_close_spread,0.0
high_close_spread,0.0
low_close_spread,0.0
