code,industry,industry_sw
sh.600000,J66货币金融服务,证监会行业分类
sh.600009,G56航空运输业,证监会行业分类
sh.600010,C31黑色金属冶炼和压延加工业,证监会行业分类
sh.600011,D44电力、热力生产和供应业,证监会行业分类
sh.600015,J66货币金融服务,证监会行业分类
sh.600016,J66货币金融服务,证监会行业分类
sh.600018,G55水上运输业,证监会行业分类
sh.600019,C31黑色金属冶炼和压延加工业,证监会行业分类
sh.600023,D44电力、热力生产和供应业,证监会行业分类
sh.600025,D44电力、热力生产和供应业,证监会行业分类
sh.600026,G55水上运输业,证监会行业分类
sh.600027,D44电力、热力生产和供应业,证监会行业分类
sh.600028,B07石油和天然气开采业,证监会行业分类
sh.600029,G56航空运输业,证监会行业分类
sh.600030,J67资本市场服务,证监会行业分类
sh.600031,C35专用设备制造业,证监会行业分类
sh.600036,J66货币金融服务,证监会行业分类
sh.600039,E48土木工程建筑业,证监会行业分类
sh.600048,K70房地产业,证监会行业分类
sh.600050,I63电信、广播电视和卫星传输服务,证监会行业分类
sh.600061,J67资本市场服务,证监会行业分类
sh.600066,C36汽车制造业,证监会行业分类
sh.600085,C27医药制造业,证监会行业分类
sh.600089,C38电气机械和器材制造业,证监会行业分类
sh.600104,C36汽车制造业,证监会行业分类
sh.600111,C32有色金属冶炼和压延加工业,证监会行业分类
sh.600115,G56航空运输业,证监会行业分类
sh.600150,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类
sh.600160,C26化学原料和化学制品制造业,证监会行业分类
sh.600161,C27医药制造业,证监会行业分类
sh.600176,C30非金属矿物制品业,证监会行业分类
sh.600183,C39计算机、通信和其他电子设备制造业,证监会行业分类
sh.600188,B06煤炭开采和洗选业,证监会行业分类
sh.600196,C27医药制造业,证监会行业分类
sh.600219,C32有色金属冶炼和压延加工业,证监会行业分类
sh.600233,G60邮政业,证监会行业分类
sh.600276,C27医药制造业,证监会行业分类
sh.600309,C26化学原料和化学制品制造业,证监会行业分类
sh.600346,C28化学纤维制造业,证监会行业分类
sh.600362,C32有色金属冶炼和压延加工业,证监会行业分类
sh.600372,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类
sh.600377,G54道路运输业,证监会行业分类
sh.600406,I65软件和信息技术服务业,证监会行业分类
sh.600415,L72商务服务业,证监会行业分类
sh.600426,C26化学原料和化学制品制造业,证监会行业分类
sh.600436,C27医药制造业,证监会行业分类
sh.600438,C13农副食品加工业,证监会行业分类
sh.600460,C39计算机、通信和其他电子设备制造业,证监会行业分类
sh.600482,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类
sh.600489,B09有色金属矿采选业,证监会行业分类
sh.600515,K70房地产业,证监会行业分类
