feature,gain,split
ROC30,55.810045287013054,48
KLEN,40.89764889329672,52
RSQR60,26.591059811413288,56
VMA30,26.274280205368996,25
KSFT,21.098345085978508,44
RSQR20,20.080092810094357,47
WVMA5,16.97385686635971,39
MAX20,16.52901504188776,20
kdj_j,15.523582980036736,41
volume_change,15.468505926430225,37
WVMA60,13.663261957466602,34
BETA60,13.003288961946964,39
volatility_20,12.870863668620586,40
ROC20,12.398805007338524,19
STD60,11.262333884835243,31
SUMP30,10.768426962196827,22
RSQR10,10.404973939061165,15
VMA60,10.391218945384026,16
RESI30,10.006123900413513,29
MIN5,10.005734972655773,30
HIGH0,9.62398599088192,26
RSQR30,8.434297483414412,25
return_1,7.941742077469826,24
STD30,7.889196991920471,19
RESI60,7.501802049577236,19
LOW0,7.4158220291137695,13
kdj_k,7.000256210565567,19
QTLD60,6.911739312112331,17
volume_ma_20,6.622027009725571,30
volatility_10,6.4071268774569035,25
BETA20,6.396508008241653,20
RESI10,6.380862012505531,22
VSTD60,6.19757504761219,26
QTLU60,6.132236123085022,15
IMAX60,5.897002562880516,20
WVMA30,5.80260618776083,21
STD10,5.680782571434975,23
IMIN30,5.517220988869667,16
SUMN30,5.352462947368622,11
SUMP10,5.24678223580122,15
VMA20,5.235653042793274,12
KSFT2,5.074027970433235,16
MA60,4.958346948027611,8
IMIN60,4.932288981974125,15
BETA30,4.8972779512405396,11
RSQR5,4.835629023611546,18
KLOW,4.789013020694256,18
VSTD30,4.672446027398109,9
RESI5,4.38027698546648,16
MAX5,4.36584398150444,12
STD20,4.328596018254757,17
CNTN60,4.323387987911701,18
VMA5,4.249481953680515,15
CNTN5,4.204612046480179,4
CORD10,4.166481032967567,17
BETA10,4.133195035159588,13
WVMA10,4.119088016450405,14
MA5,3.8596139773726463,12
VSUMP30,3.7052019760012627,16
CORD5,3.655170224606991,14
QTLU30,3.642111010849476,9
industry_id,3.6293630078434944,18
KUP,3.585782006382942,11
MIN10,3.578926995396614,14
KMID2,3.5633020102977753,9
MAX60,3.5294010043144226,10
VMA10,3.3363749980926514,12
VSUMP10,3.27568382024765,8
IMXD60,3.241063989698887,11
QTLU10,3.201221004128456,10
VSUMN30,3.158063977956772,11
ROC60,3.083551988005638,11
CNTN30,3.026447042822838,12
return_10,2.9763010069727898,9
ROC5,2.9732570871710777,15
MIN60,2.9707207269966602,14
VSUMN60,2.9367590248584747,7
QTLU5,2.8334430009126663,9
CORR30,2.763182494789362,13
VSUMD10,2.691978022456169,7
RSV10,2.524770975112915,5
IMIN20,2.4738080352544785,9
volume_ma_5,2.4405800253152847,12
CNTP60,2.3893470019102097,9
QTLD5,2.369427978992462,7
MIN30,2.3209079653024673,7
obv,2.3175549879670143,11
VSUMP60,2.3072472289204597,8
kdj_d,2.301575019955635,8
KMID,2.295320987701416,10
RESI20,2.277660980820656,9
VSTD5,2.2674889862537384,10
CORR10,2.2394429966807365,9
IMIN5,2.2125489860773087,4
BETA5,2.132850982248783,9
CORD30,2.105463195592165,11
VSUMP5,2.1030712872743607,11
SUMP60,2.099552020430565,8
STD5,2.0602929890155792,9
VSUMD30,2.024059996008873,6
CNTD30,2.022593967616558,7
IMXD30,1.8823943957686424,8
CORR20,1.8685363978147507,10
QTLD10,1.8644005805253983,8
SUMP5,1.6894279941916466,5
CORD60,1.667953982949257,7
VSUMN10,1.6177286133170128,6
VSTD20,1.5891379937529564,7
CORD20,1.5736670047044754,9
return_5,1.500552013516426,4
CORR60,1.4620860144495964,7
CNTD60,1.4001979976892471,8
IMIN10,1.3947380185127258,4
KUP2,1.3574900180101395,5
rsi,1.3170390203595161,6
VSUMP20,1.2853240072727203,5
CNTD5,1.2494230270385742,2
CNTN10,1.2226120084524155,2
RSV5,1.1657910197973251,5
SUMD10,1.1646030098199844,4
SUMN5,1.1506670117378235,3
MAX10,1.1208131834864616,6
OPEN0,1.1206960082054138,4
high_close_spread,1.1189060062170029,5
MAX30,1.1078400015830994,4
RSV30,1.1029440015554428,6
CORR5,1.0967460125684738,5
volume_ratio,1.0825630128383636,4
WVMA20,1.0614609122276306,6
RSV60,1.036516010761261,4
ROC10,1.0093569904565811,4
VSUMN5,0.993147999048233,3
