feature,gain,split
KLEN,2.8596239238977432,2
MA30,2.3764700889587402,1
ROC30,1.4973660558462143,2
VSUMP10,1.379043996334076,2
VSUMN20,1.1359200477600098,1
SUMP60,0.9911719858646393,2
SUMP30,0.7542279958724976,2
LOW0,0.7178369760513306,1
QTLD20,0.6639860272407532,1
BETA60,0.6330710053443909,2
IMXD30,0.5083630084991455,1
CNTN60,0.5043920278549194,1
KSFT,0.498275987803936,2
RSQR10,0.4772709906101227,1
RESI20,0.4678800106048584,1
MAX30,0.4489140063524246,2
volatility_10,0.44254401326179504,1
volume_ma_5,0.43081098794937134,1
RSQR5,0.43025699257850647,1
KUP2,0.3859579861164093,1
VSTD5,0.37900200486183167,1
IMXD60,0.3438130021095276,2
KLOW2,0.3216659873723984,2
STD20,0.32150799036026,1
volume_change,0.31748899072408676,2
kdj_k,0.31543800234794617,1
RESI5,0.30206599831581116,1
CORD60,0.29515600204467773,2
CORD10,0.2848060131072998,1
CORD20,0.2832750082015991,1
IMAX30,0.2775759994983673,2
KSFT2,0.268216997385025,1
MA5,0.25280800461769104,1
VSUMP20,0.24547900259494781,1
RSV60,0.22423900663852692,1
RSV5,0.21003000438213348,1
BETA30,0.18961399793624878,1
industry_id,0.18419000506401062,1
QTLU30,0.16724799573421478,1
kdj_d,0.1651179939508438,1
return_10,0.14218999445438385,1
SUMN5,0.1377200037240982,1
MIN30,0.13053999841213226,1
RESI60,0.12897899746894836,1
VSUMP60,0.11965899914503098,1
WVMA30,0.11777299642562866,1
volatility_20,0.11625999957323074,1
ema_26,0.11088699847459793,1
VSTD30,0.09527429938316345,1
HIGH0,0.0,0
OPEN0,0.0,0
RANK60,0.0,0
RANK30,0.0,0
KUP,0.0,0
KLOW,0.0,0
RANK10,0.0,0
RANK20,0.0,0
RANK5,0.0,0
VWAP0,0.0,0
SUMP20,0.0,0
CNTD60,0.0,0
SUMP5,0.0,0
SUMP10,0.0,0
CNTD30,0.0,0
CNTD5,0.0,0
CNTD10,0.0,0
CNTD20,0.0,0
CNTN10,0.0,0
CNTN20,0.0,0
CNTN5,0.0,0
CNTN30,0.0,0
CNTP10,0.0,0
CNTP20,0.0,0
CNTP30,0.0,0
CNTP60,0.0,0
IMIN20,0.0,0
IMIN10,0.0,0
IMIN60,0.0,0
IMIN30,0.0,0
CNTP5,0.0,0
IMXD20,0.0,0
IMXD5,0.0,0
IMXD10,0.0,0
IMIN5,0.0,0
IMAX60,0.0,0
RSV20,0.0,0
RSV10,0.0,0
RSV30,0.0,0
IMAX5,0.0,0
IMAX10,0.0,0
IMAX20,0.0,0
KMID,0.0,0
KMID2,0.0,0
CORR60,0.0,0
CORD5,0.0,0
CORR10,0.0,0
CORR5,0.0,0
CORR20,0.0,0
CORR30,0.0,0
VSUMD5,0.0,0
VSUMN60,0.0,0
ROC10,0.0,0
ROC5,0.0,0
high_close_spread,0.0,0
CORD30,0.0,0
VSUMD30,0.0,0
VSUMD60,0.0,0
VSUMN10,0.0,0
VSUMN5,0.0,0
VSUMP30,0.0,0
VSUMN30,0.0,0
VSUMD10,0.0,0
VSUMD20,0.0,0
SUMD5,0.0,0
SUMN10,0.0,0
SUMD30,0.0,0
SUMD20,0.0,0
SUMD10,0.0,0
VSUMP5,0.0,0
SUMD60,0.0,0
SUMN20,0.0,0
SUMN30,0.0,0
SUMN60,0.0,0
RSQR60,0.0,0
RSQR30,0.0,0
RSQR20,0.0,0
STD30,0.0,0
STD60,0.0,0
BETA5,0.0,0
BETA10,0.0,0
BETA20,0.0,0
STD5,0.0,0
STD10,0.0,0
low_close_spread,0.0,0
ROC20,0.0,0
ROC60,0.0,0
MA10,0.0,0
MA20,0.0,0
MA60,0.0,0
open_close_spread,0.0,0
high_low_spread,0.0,0
QTLU10,0.0,0
QTLU60,0.0,0
QTLD5,0.0,0
QTLU5,0.0,0
MIN60,0.0,0
RESI30,0.0,0
MAX20,0.0,0
MAX60,0.0,0
MIN10,0.0,0
MIN5,0.0,0
MIN20,0.0,0
MAX5,0.0,0
MAX10,0.0,0
RESI10,0.0,0
VSTD20,0.0,0
VSTD10,0.0,0
VMA60,0.0,0
VMA30,0.0,0
VMA10,0.0,0
VMA20,0.0,0
VMA5,0.0,0
QTLD60,0.0,0
QTLU20,0.0,0
QTLD30,0.0,0
QTLD10,0.0,0
sma_5,0.0,0
WVMA10,0.0,0
WVMA20,0.0,0
WVMA5,0.0,0
VSTD60,0.0,0
obv,0.0,0
macd_signal,0.0,0
macd,0.0,0
rsi,0.0,0
sma_20,0.0,0
ema_12,0.0,0
WVMA60,0.0,0
volume_ma_20,0.0,0
boll_std,0.0,0
boll_mid,0.0,0
kdj_j,0.0,0
volume_ratio,0.0,0
atr_14,0.0,0
ema_60,0.0,0
return_5,0.0,0
return_1,0.0,0
