feature,gain,split
MAX60,1.7164687290787697,3
volatility_20,1.223507970571518,3
HIGH0,0.9532700181007385,1
CNTN30,0.8662179708480835,1
IMAX30,0.8087300062179565,1
MIN30,0.6161609888076782,1
ROC20,0.5615570098161697,2
RSV10,0.39080798625946045,1
obv,0.39079099893569946,2
IMXD30,0.38615700602531433,2
BETA60,0.3642769902944565,2
CNTD60,0.3556260019540787,2
MAX5,0.3184959888458252,1
BETA20,0.30638299882411957,2
SUMP10,0.29576000571250916,1
WVMA30,0.26529499888420105,1
IMAX20,0.2503249943256378,1
industry_id,0.24925000220537186,2
WVMA60,0.23939349502325058,2
VSUMP60,0.2391049936413765,2
RESI5,0.23670800030231476,2
STD10,0.23618200421333313,1
CORR60,0.2215760052204132,2
MIN60,0.21068699657917023,1
QTLD30,0.20063400268554688,1
RSQR30,0.19774900376796722,1
CORR10,0.18147900700569153,1
volume_ma_5,0.1756737008690834,2
KUP,0.1657329946756363,1
MA5,0.16329799592494965,1
STD20,0.157369002699852,1
IMIN10,0.15134400129318237,1
VSUMP5,0.15080399811267853,1
QTLU10,0.1321139931678772,1
SUMP60,0.12417999655008316,1
volatility_10,0.11992400139570236,1
VSUMP30,0.11927200108766556,1
SUMP5,0.11636900156736374,1
VSTD60,0.11376799643039703,1
CORD20,0.11344999819993973,1
kdj_d,0.11065799742937088,1
RESI60,0.10605700314044952,1
KSFT,0.10323599725961685,1
KLOW,0.0952799990773201,1
volume_ma_20,0.08979090303182602,1
CORD5,0.0813542976975441,1
OPEN0,0.0,0
RANK20,0.0,0
VWAP0,0.0,0
RANK5,0.0,0
RANK10,0.0,0
RSV5,0.0,0
KSFT2,0.0,0
KUP2,0.0,0
LOW0,0.0,0
KLOW2,0.0,0
KMID2,0.0,0
KMID,0.0,0
KLEN,0.0,0
SUMN5,0.0,0
SUMP30,0.0,0
SUMP20,0.0,0
CNTD30,0.0,0
CNTN60,0.0,0
CNTD5,0.0,0
CNTD10,0.0,0
CNTD20,0.0,0
CNTN20,0.0,0
CNTN10,0.0,0
CNTN5,0.0,0
CNTP5,0.0,0
CNTP10,0.0,0
CNTP20,0.0,0
CNTP30,0.0,0
CNTP60,0.0,0
IMIN20,0.0,0
IMXD5,0.0,0
IMIN60,0.0,0
IMIN30,0.0,0
IMAX60,0.0,0
IMXD60,0.0,0
IMXD20,0.0,0
IMXD10,0.0,0
IMIN5,0.0,0
RANK60,0.0,0
RANK30,0.0,0
RSV20,0.0,0
RSV60,0.0,0
RSV30,0.0,0
IMAX10,0.0,0
IMAX5,0.0,0
CORD10,0.0,0
CORR5,0.0,0
CORR20,0.0,0
CORR30,0.0,0
VSUMD10,0.0,0
VSUMD20,0.0,0
VSUMD30,0.0,0
VSUMD60,0.0,0
ROC10,0.0,0
ROC5,0.0,0
CORD30,0.0,0
CORD60,0.0,0
high_close_spread,0.0,0
low_close_spread,0.0,0
high_low_spread,0.0,0
SUMN10,0.0,0
VSUMN10,0.0,0
VSUMN5,0.0,0
VSUMP10,0.0,0
VSUMP20,0.0,0
VSUMN20,0.0,0
VSUMN30,0.0,0
VSUMN60,0.0,0
VSUMD5,0.0,0
SUMD30,0.0,0
SUMD20,0.0,0
SUMD10,0.0,0
SUMD60,0.0,0
SUMD5,0.0,0
SUMN20,0.0,0
SUMN30,0.0,0
SUMN60,0.0,0
RSQR60,0.0,0
RSQR20,0.0,0
RSQR5,0.0,0
RSQR10,0.0,0
BETA30,0.0,0
STD60,0.0,0
BETA5,0.0,0
BETA10,0.0,0
STD5,0.0,0
STD30,0.0,0
ROC30,0.0,0
ROC60,0.0,0
MA10,0.0,0
MA20,0.0,0
MA30,0.0,0
MA60,0.0,0
open_close_spread,0.0,0
QTLU20,0.0,0
QTLU5,0.0,0
QTLU30,0.0,0
QTLD5,0.0,0
QTLD10,0.0,0
QTLU60,0.0,0
RESI20,0.0,0
MAX30,0.0,0
MAX20,0.0,0
MAX10,0.0,0
RESI30,0.0,0
MIN20,0.0,0
MIN10,0.0,0
MIN5,0.0,0
RESI10,0.0,0
VSTD20,0.0,0
VSTD10,0.0,0
VSTD5,0.0,0
VMA60,0.0,0
VMA30,0.0,0
VMA20,0.0,0
VMA10,0.0,0
VMA5,0.0,0
QTLD60,0.0,0
QTLD20,0.0,0
sma_5,0.0,0
sma_20,0.0,0
WVMA10,0.0,0
WVMA5,0.0,0
WVMA20,0.0,0
VSTD30,0.0,0
volume_change,0.0,0
macd_signal,0.0,0
macd,0.0,0
rsi,0.0,0
ema_12,0.0,0
ema_26,0.0,0
kdj_k,0.0,0
volume_ratio,0.0,0
boll_std,0.0,0
boll_mid,0.0,0
kdj_j,0.0,0
ema_60,0.0,0
atr_14,0.0,0
return_1,0.0,0
return_5,0.0,0
return_10,0.0,0
