feature,gain,split
RSQR60,1.6431190161965787,81
STD60,1.167443630285561,76
BETA60,1.165778467664495,49
obv,1.1325660075526685,72
volatility_10,1.0470922517124563,67
QTLD60,1.0284466333687305,52
RSQR30,0.9852874740026891,67
CORD60,0.9491437955293804,78
WVMA30,0.9385391157120466,58
volatility_20,0.8167594883125275,55
ROC60,0.7980701406486332,55
STD30,0.7709695047233254,48
MIN60,0.7357553213369101,49
WVMA60,0.7223149021156132,47
RESI20,0.7004741653800011,38
return_10,0.7004666868597269,19
RESI10,0.7004470489919186,33
KSFT,0.6624057081062347,41
industry_id,0.6551235904917121,49
KLOW,0.6544754272326827,46
KLEN,0.6293380791321397,39
BETA30,0.6273143775761127,30
RESI60,0.6040854589082301,33
VWAP0,0.6038369410671294,40
WVMA10,0.5924282784108073,49
RESI30,0.5847760806791484,49
IMIN20,0.5811579313594848,38
CORD20,0.579961909679696,44
STD10,0.5587659766897559,33
CORR60,0.5514087525662035,41
IMIN60,0.5506494692526758,38
RSQR20,0.5231052823364735,41
CORR10,0.5142549965530634,43
IMXD60,0.5101559027098119,26
STD5,0.503735139966011,32
STD20,0.49262239853851497,43
MA5,0.4884405070915818,27
MIN30,0.47506880946457386,36
ROC20,0.47261144942604005,32
CORR20,0.4612424960359931,28
VSUMP60,0.4593564602546394,41
QTLD30,0.4501248956657946,27
atr_14,0.4242885885760188,22
SUMP60,0.42251019878312945,30
QTLU60,0.422115636523813,24
ROC30,0.4155899602919817,30
volume_ratio,0.40746222785674036,33
MIN5,0.3983180597424507,33
KUP,0.3930609207600355,29
volume_ma_5,0.3930331692099571,32
MA20,0.38728630170226097,18
boll_std,0.3831545498687774,23
BETA5,0.3819044418632984,27
return_1,0.3744050292298198,32
VSTD5,0.372554499655962,31
WVMA5,0.3672808479750529,36
QTLD20,0.3643871590029448,22
VSUMP20,0.357458995655179,25
VSTD10,0.35480268811807036,26
volume_ma_20,0.352575178258121,25
RSQR5,0.3487054205033928,34
QTLU5,0.34447113471105695,23
macd_signal,0.3436668408103287,26
ROC5,0.335616021649912,24
CORD30,0.33272657031193376,29
return_5,0.33168257027864456,24
MIN10,0.3310980820097029,25
RESI5,0.33070354035589844,34
SUMP30,0.3221700517460704,24
QTLD10,0.3186396933160722,16
VSUMN20,0.31656802957877517,22
CORD10,0.31233081920072436,25
VSUMN60,0.3061387110501528,18
CORR30,0.3020531666697934,21
BETA20,0.29620142141357064,24
CNTP10,0.29386590560898185,18
MA60,0.2927116125356406,21
boll_mid,0.2910451735369861,14
VSTD30,0.29012458864599466,20
CORD5,0.2845189687795937,32
KMID,0.2759929259773344,23
MAX5,0.2738893302157521,12
rsi,0.27378663374111056,21
kdj_j,0.27238539047539234,17
VSTD60,0.2668785508722067,22
LOW0,0.2585612400434911,18
CNTD60,0.25854292046278715,20
KLOW2,0.24943203991279006,17
QTLD5,0.24654354946687818,20
VSTD20,0.24538460187613964,21
volume_change,0.2260342100635171,21
QTLU30,0.22264188202098012,18
RSV30,0.21469097770750523,14
WVMA20,0.20852508768439293,22
IMXD30,0.20483491104096174,19
VSUMN30,0.20330702187493443,18
KUP2,0.1955228503793478,20
MAX60,0.19371971068903804,19
BETA10,0.1876565006095916,18
RANK60,0.1868185605853796,10
RSQR10,0.18510380922816694,19
ROC10,0.18291153712198138,13
MIN20,0.17867126921191812,18
VSUMP5,0.17816751031205058,19
SUMP20,0.17621180228888988,14
MAX10,0.17509889998473227,13
VMA10,0.1748578988481313,14
HIGH0,0.17056241119280457,15
kdj_k,0.1702829422429204,12
IMAX60,0.168633789755404,16
CORR5,0.16551597008947283,16
ema_60,0.16471554851159453,15
MA10,0.16284076124429703,16
MAX30,0.15699825901538134,17
MA30,0.1562338813673705,13
QTLU20,0.15418739896267653,10
IMIN10,0.1504579414613545,10
QTLU10,0.14974304055795074,13
SUMN20,0.14848725870251656,9
RSV20,0.14802402933128178,12
sma_5,0.1472828323021531,8
high_close_spread,0.1405941708944738,15
CNTP60,0.13995614973828197,9
MAX20,0.13939035963267088,15
RSV60,0.13817534828558564,13
IMAX30,0.1339204595424235,15
VSUMP10,0.12564548011869192,11
VMA5,0.12444673990830779,15
KMID2,0.12177049927413464,13
macd,0.11877701012417674,9
VSUMD20,0.1148661500774324,9
VMA60,0.11482884222641587,13
sma_20,0.11452321102842689,9
IMXD20,0.11422517104074359,12
ema_12,0.1099507613107562,6
IMAX20,0.10740273050032556,11
IMIN30,0.10516633279621601,8
SUMP5,0.10495476052165031,8
low_close_spread,0.10436282027512789,8
SUMN60,0.1041782796382904,8
kdj_d,0.1036444609053433,11
VSUMD60,0.10244971001520753,10
VSUMN10,0.09943363256752491,5
SUMP10,0.09898614906705916,10
OPEN0,0.09712878987193108,10
CNTP20,0.09675627015531063,8
CNTN60,0.09201560076326132,10
high_low_spread,0.09099340229295194,5
RANK20,0.09004326909780502,5
VMA20,0.08398680086247623,6
open_close_spread,0.08122804015874863,7
CNTD20,0.07618880970403552,7
RSV10,0.07599722011946142,7
VSUMN5,0.07412853091955185,7
VMA30,0.07219638116657734,7
SUMD60,0.07104839943349361,3
IMXD10,0.06997544271871448,4
CNTP5,0.06672183983027935,6
RSV5,0.06094842962920666,6
SUMN5,0.05993493041023612,6
VSUMP30,0.052544009406119585,6
CNTN20,0.049188978504389524,3
ema_26,0.046012851409614086,3
CNTP30,0.04211874003522098,5
SUMN10,0.0371952501591295,5
CNTN30,0.03717278968542814,3
SUMN30,0.03542029904201627,3
VSUMD30,0.03393573919311166,3
VSUMD5,0.033226780127733946,5
IMAX10,0.03254989953711629,4
CNTN5,0.02800705097615719,2
CNTD30,0.027826279867440462,4
KSFT2,0.02645458048209548,4
IMAX5,0.020370319951325655,2
CNTD10,0.020046299789100885,4
CNTD5,0.01972026936709881,2
IMIN5,0.01450090017169714,1
RANK30,0.011566029861569405,2
CNTN10,0.009842799976468086,2
RANK5,0.007376819849014282,1
VSUMD10,0.007229669950902462,1
SUMD5,0.005512999836355448,1
IMXD5,0.004065189976245165,1
RANK10,0.0,0
SUMD30,0.0,0
SUMD10,0.0,0
SUMD20,0.0,0
