feature,gain,split
ROC30,51.87000448256731,68
KLEN,50.58213653229177,83
RSQR60,36.08174830302596,125
KSFT,34.59925194084644,94
RSQR20,25.732334926724434,102
VMA30,24.6394019164145,28
volatility_20,21.763315584510565,97
BETA60,21.584023751318455,94
ROC20,21.086615100502968,32
WVMA60,19.941137421876192,78
kdj_j,18.667834552004933,71
RESI30,18.524689117446542,71
MIN5,18.475904742255807,80
STD60,17.377871233969927,79
volume_change,16.791788794100285,54
WVMA5,15.635328732430935,52
RSQR30,13.807991344481707,62
RESI60,13.432123508304358,48
kdj_k,13.114981327205896,43
VMA60,12.91632242500782,28
industry_id,12.804013380780816,90
return_1,12.593953371047974,65
BETA20,12.551823828369379,56
QTLD60,12.320951394736767,40
IMIN30,12.185267582535744,58
HIGH0,11.794323824346066,51
IMIN60,11.536492794752121,60
volatility_10,11.225198071449995,61
RSQR10,11.05265897884965,48
SUMP30,10.993900950998068,41
MAX20,10.828768018633127,24
RESI10,10.387083075940609,60
VMA20,10.18069875240326,31
LOW0,9.981474045664072,32
BETA30,9.95215576607734,45
ROC60,9.692178148776293,58
STD30,9.657931368798018,40
MAX60,9.471974290907383,33
WVMA30,9.05483553186059,45
RSQR5,9.023012567311525,56
CNTN30,8.757714956998825,27
VSUMP30,8.751048602163792,43
VSTD60,8.546129111200571,49
RESI5,8.458788361400366,45
obv,8.393239660188556,56
volume_ma_20,8.387605592608452,51
VSUMP10,8.278917722404003,26
volume_ma_5,8.07506318949163,58
MAX5,8.020411163568497,25
RESI20,7.9465424083173275,50
STD10,7.854656087234616,43
CNTN60,7.7837579026818275,40
KUP,7.580839138478041,41
BETA10,7.500073499977589,27
VSTD5,7.345197830349207,41
SUMN30,7.219666063785553,20
MA60,7.009500049054623,24
MIN60,6.996331945061684,40
CORD5,6.975855495780706,38
IMXD60,6.597483180463314,41
MA5,6.378677859902382,22
CORD30,6.3182727843523026,36
STD20,6.305330194532871,35
IMXD30,6.301501486450434,37
CORR30,6.28951189853251,40
WVMA10,6.2658240757882595,37
CORR10,6.095446426421404,36
CORD10,5.879869356751442,29
STD5,5.871716435998678,34
KLOW,5.741706442087889,33
SUMN5,5.741188906133175,11
volume_ratio,5.601658780127764,35
CORR60,5.593448482453823,39
VSUMP60,5.557577598839998,38
SUMP10,5.46869121491909,22
IMAX60,5.352436017245054,27
VMA5,5.352274194359779,23
CORD20,5.286047998815775,36
KMID2,5.204379066824913,25
IMIN20,5.0435952842235565,26
VSTD30,5.03568210452795,25
ROC5,4.9940053932368755,25
QTLU60,4.824178751558065,20
QTLD10,4.626104656606913,21
VMA10,4.603589802980423,19
kdj_d,4.464207883924246,22
CORD60,4.458950191736221,31
QTLU5,4.42401197552681,21
CORR5,4.4125503078103065,31
WVMA20,4.411660775542259,29
MIN10,4.2671880424022675,21
CNTP60,4.246419735252857,25
MAX30,4.186460141092539,21
MAX10,4.136788297444582,22
KLOW2,4.036055870354176,27
QTLU10,3.884151890873909,19
KUP2,3.86970579251647,23
ROC10,3.865347731858492,17
rsi,3.8260339312255383,18
KSFT2,3.7791155567392707,21
BETA5,3.571323711425066,19
VSUMD10,3.409470845013857,11
SUMP60,3.390178084373474,23
CNTD60,3.3361942023038864,21
VWAP0,3.151661802083254,24
VSUMN30,3.088875964283943,20
VSTD10,3.047257963567972,26
VSUMP20,2.9847574159502983,15
KMID,2.9813089948147535,17
RSV20,2.752966322004795,12
RSV10,2.705559991300106,11
IMIN10,2.5937431901693344,11
QTLD5,2.5394653752446175,15
VSUMD30,2.511375702917576,14
QTLD20,2.407572366297245,11
CORR20,2.4038610830903053,16
CNTD30,2.369203567504883,9
open_close_spread,2.36731568723917,14
RANK60,2.2972178757190704,10
MIN30,2.250519558787346,18
VSUMD20,2.249862600117922,9
return_5,2.244808219373226,13
VSUMN20,2.16265532374382,10
IMIN5,2.1572139859199524,8
boll_std,2.1140202954411507,17
CNTP30,2.0785996094346046,12
VSUMN60,1.9873580075800419,13
SUMD60,1.9522828608751297,9
return_10,1.9352600127458572,8
QTLU20,1.9038184061646461,13
MIN20,1.894278671592474,10
MA20,1.8890001103281975,13
OPEN0,1.8712444975972176,11
QTLU30,1.8426270112395287,9
IMXD20,1.8416052889078856,12
RSV30,1.835543941706419,11
VSTD20,1.8198233023285866,10
SUMN20,1.7964193746447563,9
IMAX20,1.7888036221265793,10
VSUMN5,1.7076361998915672,8
MA30,1.6849523074924946,10
IMAX10,1.678689107298851,13
SUMP20,1.6486839801073074,10
RSV5,1.6414921954274178,12
SUMN60,1.6408542022109032,12
SUMP5,1.598175086081028,8
SUMD30,1.5666184276342392,6
VSUMP5,1.5602347925305367,10
QTLD30,1.5391316190361977,11
