feature,gain,split
KLEN,2.784972995519638,2
MA30,2.515589952468872,1
VSUMP10,1.549988031387329,2
KLOW2,1.2922830134630203,2
VSUMN20,1.1606299877166748,1
QTLD20,1.009160041809082,1
industry_id,1.0052789747714996,2
volatility_20,0.8961189836263657,4
MIN60,0.8095129728317261,1
KLOW,0.69303297996521,2
SUMP60,0.6491490006446838,1
RESI30,0.5776650011539459,2
KSFT,0.5570549964904785,3
kdj_k,0.5375400111079216,2
RESI20,0.5256209969520569,1
STD30,0.5106619894504547,2
kdj_d,0.4980359971523285,2
IMIN60,0.45443999767303467,1
volume_ma_5,0.4461449980735779,1
VSTD5,0.40115800499916077,1
RSV5,0.3987239897251129,1
MAX30,0.3832530081272125,1
QTLD60,0.37147900462150574,1
BETA60,0.3524250090122223,1
KUP2,0.34581199288368225,1
VSUMP20,0.3396799862384796,1
VMA20,0.29002800583839417,1
RSQR10,0.2638019919395447,1
RSV60,0.24293400347232819,1
RESI5,0.23379099369049072,1
return_10,0.22341899573802948,1
CNTN60,0.21601499617099762,1
KMID,0.21484200656414032,1
SUMP30,0.19270500540733337,1
MAX5,0.19233299791812897,1
WVMA60,0.18698400259017944,1
CNTD60,0.18305599689483643,1
CORD10,0.18006399273872375,1
MIN30,0.1767369955778122,1
atr_14,0.17127999663352966,1
CORR10,0.16677799820899963,1
CORD60,0.16557399928569794,1
IMXD60,0.15884999930858612,1
low_close_spread,0.14657999575138092,1
VSTD30,0.14441199600696564,1
RSQR30,0.13776299357414246,1
MA60,0.1376650035381317,1
volume_change,0.11487500369548798,1
RANK20,0.0,0
HIGH0,0.0,0
OPEN0,0.0,0
RANK60,0.0,0
RSV10,0.0,0
RANK5,0.0,0
LOW0,0.0,0
RANK10,0.0,0
KSFT2,0.0,0
RANK30,0.0,0
VWAP0,0.0,0
SUMN5,0.0,0
SUMP20,0.0,0
SUMP5,0.0,0
SUMP10,0.0,0
CNTD30,0.0,0
CNTD5,0.0,0
CNTD10,0.0,0
CNTD20,0.0,0
CNTN10,0.0,0
CNTN20,0.0,0
CNTN5,0.0,0
CNTN30,0.0,0
CNTP10,0.0,0
CNTP20,0.0,0
CNTP30,0.0,0
CNTP60,0.0,0
IMIN5,0.0,0
IMXD5,0.0,0
IMIN30,0.0,0
IMIN20,0.0,0
CNTP5,0.0,0
IMXD30,0.0,0
IMXD20,0.0,0
IMXD10,0.0,0
IMAX60,0.0,0
IMIN10,0.0,0
RSV20,0.0,0
RSV30,0.0,0
IMAX5,0.0,0
IMAX10,0.0,0
IMAX20,0.0,0
IMAX30,0.0,0
KMID2,0.0,0
KUP,0.0,0
CORR60,0.0,0
CORR30,0.0,0
CORD20,0.0,0
CORD5,0.0,0
VSUMD30,0.0,0
VSUMD60,0.0,0
VSUMD5,0.0,0
ROC10,0.0,0
ROC20,0.0,0
ROC5,0.0,0
CORR5,0.0,0
CORR20,0.0,0
SUMN10,0.0,0
SUMD5,0.0,0
VSUMN10,0.0,0
VSUMN5,0.0,0
VSUMP60,0.0,0
VSUMN30,0.0,0
VSUMD10,0.0,0
VSUMD20,0.0,0
VSUMN60,0.0,0
SUMN20,0.0,0
SUMD30,0.0,0
SUMD20,0.0,0
VSUMP5,0.0,0
SUMD60,0.0,0
VSUMP30,0.0,0
SUMD10,0.0,0
SUMN30,0.0,0
SUMN60,0.0,0
RSQR60,0.0,0
RSQR20,0.0,0
BETA30,0.0,0
RSQR5,0.0,0
STD60,0.0,0
BETA5,0.0,0
BETA10,0.0,0
BETA20,0.0,0
STD20,0.0,0
STD10,0.0,0
STD5,0.0,0
ROC30,0.0,0
MA5,0.0,0
ROC60,0.0,0
MA20,0.0,0
MA10,0.0,0
CORD30,0.0,0
high_low_spread,0.0,0
high_close_spread,0.0,0
open_close_spread,0.0,0
QTLD5,0.0,0
QTLU60,0.0,0
MIN10,0.0,0
MIN20,0.0,0
QTLU10,0.0,0
QTLU5,0.0,0
MAX60,0.0,0
MIN5,0.0,0
MAX20,0.0,0
MAX10,0.0,0
RESI60,0.0,0
RESI10,0.0,0
VSTD20,0.0,0
VSTD10,0.0,0
VMA60,0.0,0
VMA30,0.0,0
VMA5,0.0,0
VMA10,0.0,0
QTLD10,0.0,0
QTLD30,0.0,0
QTLU30,0.0,0
QTLU20,0.0,0
sma_5,0.0,0
WVMA5,0.0,0
WVMA10,0.0,0
WVMA20,0.0,0
WVMA30,0.0,0
VSTD60,0.0,0
obv,0.0,0
macd_signal,0.0,0
macd,0.0,0
rsi,0.0,0
ema_12,0.0,0
ema_26,0.0,0
sma_20,0.0,0
volume_ma_20,0.0,0
boll_std,0.0,0
boll_mid,0.0,0
kdj_j,0.0,0
volume_ratio,0.0,0
volatility_10,0.0,0
ema_60,0.0,0
return_5,0.0,0
return_1,0.0,0
