feature,gain,split
volatility_20,17.028903104364872,34
ROC30,6.955835320055485,20
MAX60,6.924444384872913,20
HIGH0,6.487329602241516,21
volume_ma_5,6.309094347059727,12
STD60,5.4113108068704605,26
BETA60,4.93762031942606,30
industry_id,4.707725510001183,35
WVMA30,3.8395723924040794,19
RESI5,3.571771115064621,22
CORR60,3.5103169977664948,25
RSQR60,3.1462609209120274,24
ROC20,3.1309792920947075,16
obv,3.012361593544483,22
BETA20,2.9646624848246574,17
SUMP20,2.8759912997484207,12
volume_ma_20,2.692729476839304,18
MIN30,2.683077298104763,15
STD30,2.657029114663601,17
CORD60,2.539835497736931,20
RESI10,2.4985919930040836,17
MAX5,2.452898070216179,13
IMAX30,2.4235953018069267,10
RESI60,2.39439307898283,16
IMIN20,2.393990270793438,15
STD10,2.377014234662056,15
RSQR30,2.2972599864006042,16
KLEN,2.2150741070508957,11
QTLU30,2.2138684689998627,12
CNTN60,2.1435825899243355,11
BETA30,2.078167103230953,14
CORR10,2.0762956738471985,19
BETA10,2.044648289680481,10
CORD30,2.0189281031489372,12
BETA5,2.0045572370290756,10
MIN10,1.9652127996087074,10
WVMA60,1.9651306048035622,16
volatility_10,1.9254444688558578,13
IMXD60,1.9115107730031013,14
MIN60,1.8744766041636467,15
CNTN30,1.8436899483203888,3
SUMN10,1.8382659927010536,8
VSUMP10,1.7395217195153236,9
CORD20,1.7049676030874252,11
KLOW2,1.6722910106182098,11
CORD10,1.671897567808628,10
VSUMN30,1.6610121801495552,9
CNTN10,1.6501649990677834,5
IMIN30,1.649254895746708,14
SUMP30,1.5850734859704971,10
CNTD60,1.554932989180088,8
QTLD60,1.535141035914421,10
KLOW,1.5288131013512611,12
STD20,1.5126882940530777,13
SUMN20,1.4760655984282494,10
RESI20,1.3921646028757095,11
IMIN60,1.3840191885828972,10
RSQR20,1.383918397128582,11
IMXD5,1.3516590148210526,5
atr_14,1.3500026986002922,8
RESI30,1.335310898721218,10
CNTD30,1.3149101957678795,5
LOW0,1.300269991159439,4
SUMP60,1.2790803089737892,8
QTLU5,1.269773207604885,10
IMXD30,1.2343774065375328,7
KSFT,1.229035072028637,8
IMXD20,1.217972606420517,7
ROC60,1.1697894930839539,12
VSTD60,1.1464195773005486,9
SUMP10,1.1376271173357964,8
QTLD30,1.0928774923086166,6
WVMA10,1.0822233110666275,7
VSUMN10,1.0648438036441803,6
SUMN30,1.058106005191803,5
QTLU60,1.0520502105355263,7
rsi,1.0380780026316643,7
IMIN10,0.9696969985961914,4
kdj_j,0.9600450992584229,6
volume_ratio,0.9367268979549408,8
VSUMP5,0.9360159933567047,5
CORR5,0.9352136850357056,8
VSUMD30,0.9344115778803825,6
return_1,0.9264292940497398,7
high_low_spread,0.9147070050239563,5
WVMA5,0.8805815130472183,6
QTLU10,0.878513902425766,7
MA10,0.8694068044424057,7
RSV60,0.8684107065200806,6
RSQR5,0.8444980159401894,6
CNTP30,0.8189729005098343,5
macd_signal,0.7894107028841972,7
WVMA20,0.7765699997544289,5
low_close_spread,0.7473469972610474,4
CORR30,0.7400534898042679,7
VSUMP30,0.7279676124453545,5
VWAP0,0.7169806063175201,7
VMA60,0.7163041085004807,5
MA5,0.6923387199640274,4
MA60,0.6889229044318199,5
CORR20,0.6685665994882584,8
VSUMD5,0.6574929878115654,3
RSV30,0.6535829976201057,4
SUMN60,0.6441690921783447,3
VMA30,0.6425141021609306,5
CORD5,0.6383512020111084,5
MIN5,0.6361417025327682,4
IMAX5,0.6330299973487854,3
boll_std,0.6111811995506287,6
RSV10,0.5823856145143509,5
kdj_k,0.5795082077383995,3
volume_change,0.571658305823803,4
QTLD5,0.5500169992446899,5
QTLD20,0.5499290898442268,6
VSUMN5,0.5454730093479156,2
IMAX60,0.5421075969934464,5
kdj_d,0.5341586992144585,5
MAX30,0.5120998993515968,3
KUP2,0.5037770047783852,4
VMA10,0.4989668056368828,5
boll_mid,0.49811209738254547,5
return_10,0.4920559972524643,4
SUMN5,0.47912289947271347,4
RSQR10,0.4741084948182106,4
macd,0.4698447063565254,5
KMID,0.46181370317935944,5
KMID2,0.42701420187950134,3
MIN20,0.4248451963067055,3
CNTD10,0.4227018877863884,3
VSUMN60,0.4147080034017563,3
ema_26,0.41299401223659515,2
RSV5,0.4073069989681244,3
MAX20,0.39641640335321426,4
sma_5,0.3761799931526184,3
high_close_spread,0.3716277927160263,3
VMA20,0.3546677976846695,3
return_5,0.3492816910147667,3
CNTP10,0.3484022989869118,3
VSUMD60,0.34434640407562256,3
IMAX20,0.3414490073919296,2
QTLU20,0.33705610036849976,3
MAX10,0.3234187960624695,3
VSTD10,0.32271700352430344,3
MA20,0.3178754076361656,3
VMA5,0.31414400041103363,2
ema_60,0.30469129979610443,3
SUMD30,0.30010169744491577,2
QTLD10,0.2951570004224777,2
ema_12,0.2930249869823456,1
VSUMD10,0.2635551989078522,2
VSTD20,0.2602934017777443,3
STD5,0.2507938966155052,3
SUMP5,0.24852000176906586,2
VSUMP20,0.24679679423570633,2
SUMD20,0.23216499388217926,1
CNTD20,0.22441600263118744,1
KUP,0.21018899977207184,1
ROC5,0.2092670053243637,2
VSUMP60,0.20823930203914642,2
RSV20,0.19940399378538132,2
CNTN5,0.19759400188922882,1
open_close_spread,0.1949962005019188,2
VSTD30,0.17190399765968323,2
RANK60,0.1586500033736229,2
SUMD10,0.1451209932565689,1
IMAX10,0.136245995759964,1
VSUMD20,0.12043499946594238,1
SUMD5,0.1142830029129982,1
MA30,0.1094679981470108,1
CNTP60,0.10615800321102142,1
VSTD5,0.10536299645900726,1
KSFT2,0.08588570356369019,1
CNTP20,0.08167009800672531,1
RANK10,0.08020199835300446,1
IMXD10,0.07939609885215759,1
CNTP5,0.07724779844284058,1
SUMD60,0.0713542029261589,1
CNTN20,0.06772369891405106,1
VSUMN20,0.06418470293283463,1
CNTD5,0.0,0
IMIN5,0.0,0
RANK5,0.0,0
RANK30,0.0,0
OPEN0,0.0,0
RANK20,0.0,0
ROC10,0.0,0
sma_20,0.0,0
