feature,gain,split
WVMA60,0.9320362240541726,65
obv,0.7651427697855979,70
RSQR60,0.7095962129533291,64
CORR30,0.6494022868573666,51
CORD60,0.5529218290466815,33
MAX5,0.4987518972484395,31
CORD30,0.46310647996142507,44
volatility_20,0.45956060476601124,49
BETA60,0.42689820658415556,35
RESI30,0.4161590221337974,16
IMXD30,0.39159740949980915,31
WVMA5,0.38630489027127624,39
STD30,0.37371944379992783,40
industry_id,0.36596501991152763,30
RSQR20,0.3631072419229895,43
volatility_10,0.3539941420312971,37
CORR60,0.3399809522088617,33
STD60,0.33849607896991074,31
WVMA10,0.33228740002959967,35
volume_ma_5,0.32743286387994885,26
MA60,0.32138788839802146,19
CORD20,0.3072880710242316,25
CORD5,0.28718984057195485,37
IMXD60,0.2870277613401413,28
RSQR30,0.28399352927226573,38
KLOW,0.2810896331211552,21
MAX10,0.28019961016252637,11
VSUMP30,0.2771782495547086,29
WVMA20,0.27662906097248197,35
QTLD60,0.27563510881736875,27
RSQR10,0.2712889185640961,33
IMAX60,0.2568594072945416,24
KUP,0.25191706023178995,33
CORR20,0.2435084292665124,31
volume_ratio,0.23168299824465066,22
KLEN,0.22955476981587708,34
atr_14,0.22533079027198255,25
VSUMP60,0.2180679386947304,32
STD20,0.21351903048343956,23
STD5,0.2090082704089582,26
IMAX30,0.20620184089057148,18
RSQR5,0.202358759008348,24
CNTD60,0.20045873965136707,13
ROC30,0.19386484962888062,23
VSUMP5,0.19211019901558757,23
WVMA30,0.19153861072845757,29
RESI20,0.18986361171118915,24
kdj_d,0.18571605044417083,17
VSUMP20,0.18479454051703215,25
CORR5,0.18059418187476695,18
volume_ma_20,0.17342259059660137,19
CORD10,0.17164447042159736,22
MIN60,0.16917001898400486,19
MIN30,0.1624437791761011,16
STD10,0.16051231906749308,20
QTLD20,0.1583114112727344,7
return_1,0.1581950088730082,19
CORR10,0.15707381116226315,20
VSTD10,0.15417141001671553,19
MAX60,0.15371290990151465,16
boll_mid,0.15369508834555745,10
MIN20,0.1524646794423461,14
VMA10,0.15221104840748012,13
KLOW2,0.15219871001318097,24
CNTP5,0.1498434003442526,4
HIGH0,0.14804627955891192,19
VSUMP10,0.14752224867697805,18
VSTD60,0.14744022046215832,20
IMIN20,0.14702183078043163,17
BETA20,0.14581991941668093,14
VSUMN20,0.1456259493716061,22
ROC60,0.13867349922657013,19
QTLD5,0.1371956889051944,12
KUP2,0.13578234962187707,19
BETA5,0.13323999056592584,20
IMXD20,0.1308990903198719,10
QTLD10,0.1280895913951099,13
VMA60,0.12784282094798982,17
ema_12,0.12535067205317318,12
IMIN60,0.12483777035959065,15
MIN10,0.12414288008585572,13
RESI10,0.12306765001267195,18
kdj_k,0.12174366926774383,12
IMAX20,0.120374939404428,10
RESI60,0.11985924874898046,13
QTLU10,0.11964700929820538,14
VSTD5,0.11564449069555849,19
VWAP0,0.11530215991660953,17
CNTN10,0.1129367386456579,6
macd_signal,0.11273253127001226,13
VSUMN60,0.11125927232205868,11
MIN5,0.10941958916373551,14
sma_5,0.10931612062267959,14
RSV5,0.10930367978289723,8
SUMP5,0.10777530050836504,11
IMIN30,0.10628821002319455,9
CNTD30,0.10540715977549553,16
sma_20,0.10492461896501482,9
SUMN30,0.10405843029730022,12
SUMP60,0.10394810955040157,14
boll_std,0.10257405904121697,12
QTLU20,0.09882509987801313,16
BETA10,0.09709711908362806,11
QTLU60,0.09542450960725546,11
VMA30,0.09480888023972511,11
LOW0,0.09230725013185292,13
VSUMN30,0.08890505158342421,8
BETA30,0.08763869805261493,14
MA5,0.08758275036234409,11
VSTD20,0.08705654088407755,12
MAX20,0.08219334133900702,9
VSTD30,0.08217715891078115,15
high_low_spread,0.08160649030469358,9
CNTN60,0.07991466054227203,6
RESI5,0.07948646642034873,15
QTLU30,0.07940404932014644,10
RSV10,0.07912164065055549,12
CNTP60,0.07824780803639442,5
VMA5,0.07803937955759466,10
ROC20,0.07762818946503103,9
ema_26,0.077563950791955,5
KSFT,0.07611476955935359,11
SUMP30,0.07499316008761525,8
MA30,0.07461300934664905,9
MA20,0.07440775958821177,4
CNTP20,0.07270808052271605,6
CNTD10,0.070429558865726,4
IMAX10,0.07040214003063738,10
IMXD10,0.06687854952178895,11
ROC10,0.06471277878154069,11
low_close_spread,0.06458802032284439,11
KSFT2,0.06453021080233157,11
CNTD5,0.06442116806283593,3
SUMN5,0.06042555999010801,5
VSUMD30,0.059775860980153084,4
high_close_spread,0.05840156972408295,6
SUMN60,0.056664339266717434,6
QTLU5,0.056406030198559165,7
SUMP10,0.05622130027040839,5
VSUMN5,0.055592719465494156,8
KMID2,0.052921469788998365,9
VMA20,0.051639080978929996,6
IMXD5,0.051488179014995694,4
CNTD20,0.051344731356948614,3
VSUMN10,0.05062624020501971,6
volume_change,0.04880771925672889,11
macd,0.048513139598071575,9
RANK60,0.04841690044850111,5
kdj_j,0.048354650381952524,8
ema_60,0.047271110815927386,3
rsi,0.04689030954614282,4
MAX30,0.04647715971805155,9
RSV60,0.046392259653657675,4
RSV20,0.04197748005390167,7
open_close_spread,0.039245290448889136,5
VSUMD5,0.03582217963412404,5
ROC5,0.03344660974107683,3
QTLD30,0.033426480600610375,6
SUMD30,0.033083000453189015,6
SUMN20,0.032774400897324085,2
SUMD60,0.032612079521641135,5
OPEN0,0.030393769266083837,6
CNTP30,0.03038447955623269,5
VSUMD60,0.030060399556532502,5
VSUMD20,0.02784436079673469,4
CNTN30,0.027242940152063966,5
SUMP20,0.026818240992724895,3
RSV30,0.026350729633122683,4
RANK20,0.023233099840581417,3
IMIN10,0.022942049894481897,2
return_5,0.02222802024334669,4
MA10,0.021693549817427993,4
SUMD5,0.020799740683287382,3
VSUMD10,0.01777250994928181,3
IMAX5,0.013763889903202653,3
RANK10,0.0119310999289155,1
CNTP10,0.011325330007821321,2
SUMD20,0.010192899964749813,1
RANK30,0.007343079894781113,2
SUMN10,0.0065664201974868774,1
CNTN20,0.0060872300527989864,1
KMID,0.004523179959505796,1
return_10,0.0030616798903793097,1
SUMD10,0.0027657500468194485,1
IMIN5,0.0027046999894082546,1
RANK5,0.002297729952260852,1
CNTN5,0.0,0
