feature,gain,split
ROC10,0.4671500027179718,1
ema_12,0.09714030101895332,2
MA10,0.09127320349216461,1
WVMA60,0.08489619940519333,1
MAX5,0.05512790009379387,1
atr_14,0.05131139978766441,1
RESI60,0.0486162006855011,1
QTLD5,0.041341498494148254,1
QTLD20,0.04120920039713383,2
KLOW,0.0396868996322155,1
VSUMP20,0.027644900605082512,1
MA60,0.027169199660420418,1
VSTD20,0.02287839911878109,1
VMA60,0.02116609923541546,1
BETA60,0.019757000729441643,1
CORR60,0.016991199925541878,1
volume_ratio,0.01694059930741787,1
SUMP20,0.014406300149857998,1
macd,0.0122103001922369,1
KMID2,0.0,0
KUP,0.0,0
KUP2,0.0,0
KLOW2,0.0,0
KSFT,0.0,0
KSFT2,0.0,0
OPEN0,0.0,0
KLEN,0.0,0
IMAX30,0.0,0
IMAX60,0.0,0
IMIN10,0.0,0
IMIN5,0.0,0
IMIN30,0.0,0
IMIN60,0.0,0
IMXD5,0.0,0
IMIN20,0.0,0
IMXD20,0.0,0
IMXD30,0.0,0
IMXD60,0.0,0
CNTP5,0.0,0
CNTP10,0.0,0
CNTP20,0.0,0
CNTP30,0.0,0
KMID,0.0,0
LOW0,0.0,0
VWAP0,0.0,0
RANK5,0.0,0
RANK10,0.0,0
RANK20,0.0,0
RANK30,0.0,0
RANK60,0.0,0
RSV5,0.0,0
RSV10,0.0,0
RSV20,0.0,0
RSV30,0.0,0
RSV60,0.0,0
IMAX5,0.0,0
IMAX10,0.0,0
IMAX20,0.0,0
HIGH0,0.0,0
SUMN5,0.0,0
SUMP60,0.0,0
SUMP30,0.0,0
SUMP10,0.0,0
CNTD60,0.0,0
SUMP5,0.0,0
CNTD30,0.0,0
CNTD20,0.0,0
CNTN30,0.0,0
CNTD10,0.0,0
CNTD5,0.0,0
CNTN60,0.0,0
CNTN10,0.0,0
CNTN20,0.0,0
CNTN5,0.0,0
CNTP60,0.0,0
IMXD10,0.0,0
VSUMN10,0.0,0
VSUMN60,0.0,0
VSUMN30,0.0,0
VSUMD10,0.0,0
VSUMN20,0.0,0
SUMN30,0.0,0
SUMN10,0.0,0
SUMD30,0.0,0
SUMD60,0.0,0
VSUMP5,0.0,0
VSUMP10,0.0,0
SUMD5,0.0,0
SUMD10,0.0,0
SUMD20,0.0,0
SUMN20,0.0,0
CORD20,0.0,0
CORD10,0.0,0
CORD5,0.0,0
CORR30,0.0,0
open_close_spread,0.0,0
high_close_spread,0.0,0
high_low_spread,0.0,0
CORD30,0.0,0
ROC5,0.0,0
low_close_spread,0.0,0
ROC20,0.0,0
ROC30,0.0,0
MA5,0.0,0
ROC60,0.0,0
MA20,0.0,0
CORD60,0.0,0
MA30,0.0,0
STD5,0.0,0
STD20,0.0,0
STD10,0.0,0
STD60,0.0,0
VSUMD20,0.0,0
VSUMD30,0.0,0
VSUMD5,0.0,0
VSUMD60,0.0,0
CORR5,0.0,0
CORR20,0.0,0
CORR10,0.0,0
VSUMP30,0.0,0
VSUMP60,0.0,0
VSUMN5,0.0,0
SUMN60,0.0,0
RESI5,0.0,0
RSQR60,0.0,0
RSQR30,0.0,0
RSQR20,0.0,0
RSQR10,0.0,0
RSQR5,0.0,0
BETA30,0.0,0
BETA20,0.0,0
STD30,0.0,0
BETA10,0.0,0
BETA5,0.0,0
MIN10,0.0,0
MAX60,0.0,0
MIN5,0.0,0
RESI20,0.0,0
RESI10,0.0,0
QTLU10,0.0,0
QTLU5,0.0,0
MIN60,0.0,0
MIN30,0.0,0
QTLU60,0.0,0
QTLD10,0.0,0
QTLU30,0.0,0
QTLU20,0.0,0
QTLD60,0.0,0
QTLD30,0.0,0
VMA5,0.0,0
MIN20,0.0,0
RESI30,0.0,0
MAX10,0.0,0
MAX20,0.0,0
MAX30,0.0,0
VSTD10,0.0,0
VSTD5,0.0,0
VMA20,0.0,0
VMA30,0.0,0
VMA10,0.0,0
WVMA20,0.0,0
WVMA10,0.0,0
VSTD30,0.0,0
sma_5,0.0,0
WVMA30,0.0,0
ema_26,0.0,0
sma_20,0.0,0
rsi,0.0,0
macd_signal,0.0,0
WVMA5,0.0,0
VSTD60,0.0,0
obv,0.0,0
volume_change,0.0,0
volume_ma_20,0.0,0
volume_ma_5,0.0,0
kdj_d,0.0,0
kdj_j,0.0,0
boll_mid,0.0,0
kdj_k,0.0,0
boll_std,0.0,0
ema_60,0.0,0
volatility_10,0.0,0
volatility_20,0.0,0
return_1,0.0,0
return_5,0.0,0
return_10,0.0,0
industry_id,0.0,0
