feature,gain,split
obv,0.25926200300455093,2
volatility_20,0.1786120980978012,4
BETA60,0.14168929681181908,3
CORR60,0.14119179919362068,4
industry_id,0.1224059984087944,1
MIN60,0.10231159999966621,2
ROC60,0.09303110092878342,1
QTLD60,0.08284669928252697,2
ema_12,0.051658499985933304,1
MAX20,0.04228619858622551,1
MAX5,0.041878800839185715,1
CORD20,0.04131949879229069,2
CORD60,0.03830819949507713,1
volume_ratio,0.038195498287677765,1
SUMP20,0.03643079847097397,1
STD20,0.02838760055601597,1
IMXD60,0.02805580012500286,1
VSUMP30,0.024528099223971367,1
ROC30,0.020732000470161438,1
volatility_10,0.019136600196361542,1
WVMA30,0.018592700362205505,1
IMIN60,0.018014200031757355,1
RESI60,0.016434499993920326,1
VSTD30,0.01564529910683632,1
volume_ma_20,0.015184500254690647,1
RSQR10,0.014019199647009373,1
STD30,0.013445300050079823,1
CORD10,0.012210099957883358,1
CORR30,0.011630999855697155,1
low_close_spread,0.009234010241925716,1
IMAX30,0.007143579889088869,1
IMIN20,0.0,0
IMAX10,0.0,0
IMAX5,0.0,0
IMIN10,0.0,0
IMAX20,0.0,0
KUP,0.0,0
KLOW,0.0,0
KLOW2,0.0,0
KSFT,0.0,0
KUP2,0.0,0
KLEN,0.0,0
KMID,0.0,0
HIGH0,0.0,0
LOW0,0.0,0
RANK5,0.0,0
VWAP0,0.0,0
RANK20,0.0,0
RANK30,0.0,0
RANK60,0.0,0
RANK10,0.0,0
RSV5,0.0,0
RSV10,0.0,0
RSV30,0.0,0
RSV20,0.0,0
RSV60,0.0,0
KSFT2,0.0,0
OPEN0,0.0,0
KMID2,0.0,0
SUMN5,0.0,0
SUMP60,0.0,0
SUMP30,0.0,0
SUMP10,0.0,0
CNTD60,0.0,0
SUMP5,0.0,0
CNTD30,0.0,0
CNTD20,0.0,0
CNTN30,0.0,0
CNTD10,0.0,0
CNTD5,0.0,0
CNTN60,0.0,0
CNTN10,0.0,0
CNTN20,0.0,0
CNTN5,0.0,0
CNTP60,0.0,0
IMIN5,0.0,0
CNTP30,0.0,0
CNTP20,0.0,0
CNTP10,0.0,0
CNTP5,0.0,0
IMXD30,0.0,0
IMXD20,0.0,0
IMXD10,0.0,0
IMAX60,0.0,0
IMXD5,0.0,0
IMIN30,0.0,0
VSUMN5,0.0,0
VSUMN10,0.0,0
SUMN10,0.0,0
SUMN30,0.0,0
SUMN20,0.0,0
CORD5,0.0,0
CORR5,0.0,0
CORR10,0.0,0
CORR20,0.0,0
VSUMD10,0.0,0
VSUMD20,0.0,0
VSUMD30,0.0,0
VSUMD60,0.0,0
ROC10,0.0,0
ROC5,0.0,0
ROC20,0.0,0
MA5,0.0,0
open_close_spread,0.0,0
high_close_spread,0.0,0
high_low_spread,0.0,0
CORD30,0.0,0
MA60,0.0,0
MA30,0.0,0
VSUMP60,0.0,0
VSUMP20,0.0,0
VSUMN20,0.0,0
VSUMN30,0.0,0
VSUMN60,0.0,0
VSUMD5,0.0,0
SUMD30,0.0,0
SUMD60,0.0,0
VSUMP10,0.0,0
VSUMP5,0.0,0
SUMD5,0.0,0
SUMD10,0.0,0
SUMD20,0.0,0
SUMN60,0.0,0
RESI5,0.0,0
RSQR60,0.0,0
RSQR30,0.0,0
RSQR20,0.0,0
RSQR5,0.0,0
BETA30,0.0,0
BETA10,0.0,0
BETA20,0.0,0
STD5,0.0,0
STD10,0.0,0
BETA5,0.0,0
STD60,0.0,0
MA10,0.0,0
MA20,0.0,0
MAX10,0.0,0
RESI30,0.0,0
QTLU10,0.0,0
QTLU20,0.0,0
QTLU60,0.0,0
QTLU30,0.0,0
QTLD5,0.0,0
QTLD10,0.0,0
QTLD20,0.0,0
RESI20,0.0,0
MAX30,0.0,0
MAX60,0.0,0
MIN10,0.0,0
MIN5,0.0,0
MIN20,0.0,0
MIN30,0.0,0
QTLU5,0.0,0
RESI10,0.0,0
VSTD20,0.0,0
VSTD10,0.0,0
VSTD5,0.0,0
VMA60,0.0,0
VMA30,0.0,0
VMA20,0.0,0
VMA10,0.0,0
VMA5,0.0,0
QTLD30,0.0,0
sma_5,0.0,0
ema_26,0.0,0
WVMA60,0.0,0
WVMA10,0.0,0
WVMA20,0.0,0
WVMA5,0.0,0
VSTD60,0.0,0
volume_change,0.0,0
macd_signal,0.0,0
macd,0.0,0
rsi,0.0,0
sma_20,0.0,0
kdj_d,0.0,0
volume_ma_5,0.0,0
kdj_k,0.0,0
boll_std,0.0,0
boll_mid,0.0,0
kdj_j,0.0,0
ema_60,0.0,0
atr_14,0.0,0
return_1,0.0,0
return_5,0.0,0
return_10,0.0,0
