feature,gain,split
WVMA60,0.6711345203220844,67
RSQR60,0.6448749046539888,84
CORR30,0.6144395166775212,63
volatility_20,0.5798924270784482,66
MA60,0.5670807160204276,40
CORD60,0.5261375063564628,52
RSQR20,0.5240632791537791,75
STD30,0.4681573968846351,67
KUP,0.4602787996409461,66
CORD30,0.4553796275286004,58
obv,0.45171870093327016,62
RSQR30,0.4320626308908686,62
CORD5,0.41244327055756,57
RSQR5,0.3715449970914051,52
CORR60,0.36410601309034973,49
RESI30,0.36051328922621906,24
WVMA20,0.3584976402344182,63
CORD20,0.3395521007478237,32
STD60,0.33940116048324853,49
volatility_10,0.3348692908184603,54
VSUMP30,0.323131957789883,46
MAX10,0.32187251141294837,21
RSQR10,0.31336643011309206,52
volume_ma_20,0.3039976698346436,36
industry_id,0.3015381603036076,33
WVMA10,0.2934546396136284,47
QTLD60,0.29204895615112036,27
KLEN,0.2920365210156888,42
BETA60,0.2828881636960432,30
WVMA5,0.26063903875183314,44
RESI10,0.2580612199380994,41
IMXD60,0.24770646181423217,50
WVMA30,0.236655565968249,44
MAX5,0.23124377254862338,29
VWAP0,0.2311340111773461,28
STD20,0.22540334821678698,31
VSTD60,0.2180272820405662,25
KLOW2,0.2173582409741357,33
IMIN20,0.21219410107005388,34
VSUMN30,0.21089072106406093,18
BETA20,0.20430459518684074,21
IMAX30,0.2040680415229872,25
VSUMP20,0.19337006739806384,34
IMAX60,0.193246919719968,32
CORR20,0.19178696966264397,43
QTLD20,0.19108269782736897,8
atr_14,0.18940380064304918,22
VMA60,0.18348416138906032,28
VSUMP10,0.18307968159206212,34
CORR5,0.17498864920344204,32
MIN30,0.17452559317462146,23
VSUMP60,0.1742526775924489,28
VMA10,0.1738974810577929,19
HIGH0,0.1731957188458182,37
CORD10,0.17207332991529256,24
IMIN60,0.1720032914308831,26
MAX60,0.17168230860261247,25
VMA5,0.17022708803415298,22
KLOW,0.16644483141135424,31
low_close_spread,0.1639767262386158,16
MIN60,0.16236472211312503,35
MIN10,0.1601245797937736,29
macd_signal,0.15826927055604756,23
VSTD10,0.1575132696889341,23
VSUMN20,0.15351374971214682,26
QTLD10,0.15101236943155527,16
STD5,0.1505847994121723,24
BETA10,0.14890511031262577,16
KSFT,0.14877169101964682,29
BETA30,0.14800466829910874,25
CORR10,0.14735127880703658,32
kdj_d,0.14280909020453691,19
IMXD30,0.1424647601088509,31
KUP2,0.14137567928992212,24
volume_ratio,0.1413479110924527,25
ROC30,0.14105284912511706,26
IMIN30,0.13969453843310475,25
VSUMP5,0.13748317153658718,22
high_low_spread,0.1370540503412485,20
BETA5,0.1364404197083786,25
SUMP5,0.13516737788449973,16
CNTD30,0.13342462992295623,20
STD10,0.13306270132306963,18
return_1,0.12932677962817252,30
