feature,gain,split
ROC10,2.020089772064239,19
RESI60,1.7212399910204113,46
STD60,1.181452794931829,75
SUMN60,1.0712670616339892,36
obv,1.0302928993478417,68
kdj_k,1.025671954266727,32
WVMA60,0.9919734934810549,54
CORD60,0.9777090214192867,68
volatility_10,0.9626178159378469,55
ROC60,0.9422703632153571,60
RSQR20,0.9363509539980441,62
RSQR5,0.9139386960305274,47
BETA60,0.889093772508204,47
RESI10,0.8466674135997891,44
MIN60,0.8426839911844581,54
CORR60,0.8171787606552243,61
RSQR60,0.7739256196655333,53
kdj_j,0.7623451463878155,37
STD30,0.7395534887909889,47
WVMA10,0.7200862020254135,53
WVMA30,0.7177990302443504,50
BETA30,0.712566967587918,49
MA20,0.7052131500095129,12
volume_ratio,0.6388120499905199,43
QTLD60,0.6241175595205277,43
RSQR30,0.60783855128102,57
volatility_20,0.6025491817854345,39
industry_id,0.588682526955381,43
IMIN60,0.5757351326756179,37
MIN30,0.5657279058359563,34
MA10,0.5579633140005171,15
CORD30,0.5311984242871404,43
CORD20,0.5200230083428323,41
boll_std,0.5127898780629039,25
CORR10,0.5115803605876863,37
ROC30,0.48549614078365266,24
VWAP0,0.4791551879607141,34
IMXD60,0.4746363996528089,28
CORD5,0.4697480881586671,45
WVMA5,0.46695275767706335,39
RESI30,0.4563846895471215,32
KUP,0.44783793040551245,33
RESI20,0.4390681926161051,29
CORR30,0.43817708687856793,35
VSUMN60,0.4370908618438989,30
MIN10,0.43568130559287965,27
RSQR10,0.4278452097205445,39
VSUMN20,0.40779372258111835,30
MA60,0.4036925914697349,21
atr_14,0.38579800887964666,25
return_10,0.3770950003527105,8
KLOW,0.37423207028768957,33
KMID,0.3704464677721262,28
ROC5,0.3685208212118596,20
VSTD60,0.3629575043451041,32
volume_ma_20,0.35736999148502946,31
STD5,0.35569538827985525,27
RESI5,0.3482870617881417,27
WVMA20,0.3450173700693995,34
VSUMP60,0.3440166604705155,30
IMIN30,0.3430867954157293,20
macd_signal,0.33998057758435607,23
ROC20,0.33827743981964886,28
STD20,0.3370700580999255,25
RSV60,0.33653738955035806,20
CORD10,0.33519851928576827,30
IMXD30,0.33349017333239317,35
VSTD30,0.3306998461484909,22
volume_ma_5,0.3301944099366665,30
return_1,0.3279323964379728,27
SUMP20,0.3235289128497243,26
QTLD30,0.3152279802598059,25
volume_change,0.31183912232518196,30
MIN5,0.30471133161336184,28
IMIN20,0.30188715970143676,25
sma_5,0.28774247085675597,18
IMXD20,0.2842978104017675,27
VSTD5,0.2835230715572834,28
MAX5,0.28257660602685064,18
MA5,0.28236544225364923,23
VSTD10,0.2818695423193276,23
LOW0,0.27555216033943,24
QTLU10,0.2717652595601976,23
CORR5,0.2704887285362929,23
SUMP60,0.2611315681133419,26
CNTD60,0.2596083413809538,19
QTLD5,0.2586349896155298,21
VSUMP20,0.24307934031821787,18
macd,0.24057335127145052,21
MAX60,0.2392632223200053,20
SUMP30,0.23807437205687165,14
kdj_d,0.23756539192982018,25
CNTP60,0.23643251089379191,19
VSTD20,0.23422372969798744,17
STD10,0.23344403877854347,21
MIN20,0.22704810951836407,11
CORR20,0.22584343957714736,18
rsi,0.22054659388959408,15
VMA10,0.22023351956158876,24
ema_12,0.21817169012501836,12
ema_60,0.21102403849363327,18
KSFT,0.20475010946393013,20
MAX30,0.20382903888821602,22
sma_20,0.20373847987502813,17
QTLU30,0.20037039276212454,13
HIGH0,0.19221931253559887,15
QTLD20,0.19147007865831256,14
IMAX60,0.18847831198945642,18
QTLU5,0.18773740262258798,19
BETA5,0.1871351394802332,19
KLOW2,0.1767535894177854,16
return_5,0.17255718912929296,10
KUP2,0.17170744808390737,15
CNTP10,0.17055304115638137,15
VSUMP30,0.16597440978512168,16
MA30,0.1630734084174037,10
RSV5,0.16098406864330173,8
VMA30,0.16001537768170238,12
KLEN,0.1569774686358869,14
VSUMD60,0.15416417689993978,8
IMXD10,0.15410769963636994,7
open_close_spread,0.15253863111138344,13
ema_26,0.1446164008229971,9
SUMP5,0.14108359115198255,13
RSV20,0.13924887962639332,11
OPEN0,0.1375498096458614,11
CNTN60,0.13239942025393248,13
IMIN10,0.1293663503602147,11
QTLU60,0.12872039107605815,12
BETA20,0.12713941955007613,11
BETA10,0.12591069797053933,8
boll_mid,0.12456604978069663,13
VMA60,0.1229063393548131,11
VSUMN30,0.11992237903177738,10
MAX10,0.11816288018599153,9
VSUMP10,0.10542330099269748,9
IMAX30,0.1053889892064035,13
RSV30,0.10409029060974717,8
CNTN30,0.10006547067314386,10
QTLU20,0.099882758455351,11
MAX20,0.09851294942200184,6
CNTD10,0.09130530059337616,9
VSUMN5,0.08883388061076403,7
SUMP10,0.08865807903930545,9
VMA5,0.08828112948685884,11
SUMN20,0.08495607133954763,5
SUMN10,0.08495122171007097,8
SUMD60,0.08100533997640014,7
KMID2,0.0792743400670588,9
CNTD20,0.07788665778934956,7
VSUMP5,0.07685957057401538,6
SUMN30,0.07444738014601171,9
CNTP20,0.07172851986251771,8
RANK60,0.07072052080184221,4
SUMD20,0.07023984007537365,3
VMA20,0.0661578206345439,6
low_close_spread,0.06446655001491308,9
SUMD10,0.0614227494224906,5
high_close_spread,0.060140010667964816,10
CNTP30,0.05900176987051964,6
QTLD10,0.05780326994135976,5
CNTN20,0.056753641460090876,5
VSUMN10,0.056677079759538174,4
SUMN5,0.05566859990358353,2
IMAX5,0.05218186881393194,3
